barcat -f'([.0-9]+)(?=,m)' t1320-earthquakes.in
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-23T08:36:09.810Z,36.0975,-117.8963333,4.26,1.16,ml,11,135,0.03911,0.16,ci,ci38853231,2019-09-23T08:39:47.836Z,"8km NE of Coso Junction, CA",earthquake,0.47,0.49,0.159,17,automatic,ci,ci                                            
2019-09-23T08:26:36.330Z,35.0718333,-119.0633333,-0.17,1.73,ml,22,73,0.1808,0.3,ci,ci38853215,2019-09-23T08:30:29.122Z,"19km NW of Grapevine, CA",earthquake,0.52,31.61,0.132,28,automatic,ci,ci                                             
2019-09-23T08:24:39.314Z,-36.0408,-73.7934,10, 5.3,mww,,71,0.857,0.83,us,us60005m4u,2019-09-23T11:22:52.674Z,"96km NW of Talcahuano, Chile",earthquake,4.9,1.9,0.063,24,reviewed,us,us                                                       
2019-09-23T08:23:00.720Z,39.5583333,-111.1658333,1.99,1.22,ml,15,69,0.08684,0.26,uu,uu60342777,2019-09-23T13:20:07.120Z,"24km E of Mount Pleasant, Utah",earthquake,0.59,11.02,0.129,3,reviewed,uu,uu                                        
2019-09-23T08:09:14.790Z,18.1433,-65.6528,69,2.19,md,4,323,0.39,0.48,pr,pr2019266006,2019-09-23T12:17:17.802Z,"9km SSE of Daguao, Puerto Rico",earthquake,11.41,6.45,0.34,3,reviewed,pr,pr                                                   
2019-09-23T08:05:27.430Z,18.6656,-65.0251,64,2.72,md,4,336,1.1888,0.32,pr,pr2019266005,2019-09-23T12:16:48.586Z,"37km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.92,18.86,0.44,4,reviewed,pr,pr                              
2019-09-23T08:02:38.910Z,38.8113327,-122.8215027,2.83,1.06,md,26,52,0.006482,0.04,nc,nc73278210,2019-09-23T09:33:05.222Z,"7km NW of The Geysers, CA",earthquake,0.21,0.44,0.16,5,automatic,nc,nc                                             
2019-09-23T08:00:41.530Z,33.6403333,-117.229,0.54,1.07,ml,22,89,0.1124,0.38,ci,ci38853183,2019-09-23T08:05:02.687Z,"7km NE of Wildomar, CA",earthquake,0.62,31.61,0.209,25,automatic,ci,ci                                                   
2019-09-23T08:00:40.760Z,33.9868333,-116.6668333,15.39,1.39,ml,56,43,0.05389,0.19,ci,ci38853175,2019-09-23T12:53:01.680Z,"10km SW of Morongo Valley, CA",earthquake,0.2,0.52,0.124,26,reviewed,ci,ci                                         
2019-09-23T07:52:29.234Z,36.76691437,-98.07202911,2.072645903, 2.1,ml,33,103.5074134,0.1020627394,0.9068598811,ok,ok2019sqtv,2019-09-23T07:55:10.786Z,"25km E of Cherokee, Oklahoma",earthquake,2.115257345,1.669269681,,24,automatic,ok,ok  
2019-09-23T07:39:59.320Z,33.2218323,-116.7088318,13.69,1.32,ml,11,89,0.04416,0.12,ci,ci38853159,2019-09-23T07:42:09.731Z,"6km ESE of Lake Henshaw, CA",earthquake,1.09,0.92,0.257,8,automatic,ci,ci                                          
2019-09-23T07:33:34.156Z,36.76663971,-98.06232452,1.303792834,   3,ml,74,96.18289542,0.09446813166,0.6138213486,ok,ok2019sqth,2019-09-23T09:20:53.229Z,"25km E of Cherokee, Oklahoma",earthquake,1.591014132,1.142564028,,55,automatic,ok,ok 
2019-09-23T07:21:44.990Z,32.6598333,-115.6766667,4.59,1.49,ml,22,97,0.04323,0.24,ci,ci38853143,2019-09-23T07:25:40.832Z,"12km NW of Progreso, B.C., MX",earthquake,0.58,0.89,0.215,24,automatic,ci,ci                                        
2019-09-23T07:12:59.029Z,34.7142,-109.441,5, 3.1,ml,,115,0.458,0.46,us,us60005m48,2019-09-23T08:12:28.040Z,"24km NNW of Saint Johns, Arizona",earthquake,2,1.9,0.035,110,reviewed,us,us                                                      
2019-09-23T07:10:37.160Z,35.8961667,-118.3198333,2.71,1.61,ml,21,68,0.2023,0.17,ci,ci38853127,2019-09-23T12:59:56.271Z,"18km NNE of Kernville, CA",earthquake,0.31,1.38,0.22,26,reviewed,ci,ci                                               
2019-09-23T07:09:53.030Z,32.1845,-117.4153333,23.01,1.85,ml,6,323,0.6796,0.09,ci,ci38853119,2019-09-23T07:13:42.755Z,"40km WSW of Rosarito, B.C., MX",earthquake,6.38,7.08,0.223,11,automatic,ci,ci                                          
2019-09-23T07:09:03.519Z,35.9905,27.284,10, 4.4,mb,,60,0.453,0.79,us,us60005m47,2019-09-23T12:30:04.040Z,"54km N of Karpathos, Greece",earthquake,4.2,1.9,0.109,24,reviewed,us,us                                                            
2019-09-23T06:47:30.960Z,35.0516667,-119.0718333,0,1.78,ml,17,130,0.169,0.29,ci,ci38853095,2019-09-23T06:51:33.123Z,"18km NW of Grapevine, CA",earthquake,0.74,31.61,0.112,27,automatic,ci,ci                                                
2019-09-23T06:47:21.140Z,36.0866667,-117.8541667,5.67,1.26,ml,16,80,0.03085,0.13,ci,ci38853087,2019-09-23T12:59:19.969Z,"10km ENE of Coso Junction, CA",earthquake,0.34,0.54,0.241,17,reviewed,ci,ci                                         
2019-09-23T06:12:32.270Z,35.3541667,-117.8261667,6.79,1.11,ml,14,96,0.08803,0.18,ci,ci38853063,2019-09-23T12:59:38.396Z,"18km W of Johannesburg, CA",earthquake,0.36,0.9,0.112,18,reviewed,ci,ci                                             
2019-09-23T06:05:47.220Z,36.0876667,-117.8596667,5.3,1.68,ml,26,55,0.0301,0.17,ci,ci38853047,2019-09-23T13:00:15.370Z,"9km ENE of Coso Junction, CA",earthquake,0.28,0.58,0.288,23,reviewed,ci,ci                                            
2019-09-23T05:56:47.450Z,34.9458333,-116.7551667,1.4,1.61,ml,19,49,0.1656,0.24,ci,ci38853031,2019-09-23T06:55:47.633Z,"25km ENE of Barstow, CA",earthquake,0.4,1.28,0.159,26,automatic,ci,ci                                                 
2019-09-23T05:39:00.140Z,35.9118333,-117.7295,3.13,1.53,ml,25,54,0.07361,0.18,ci,ci38853015,2019-09-23T05:42:53.017Z,"16km E of Little Lake, CA",earthquake,0.24,0.97,0.156,21,automatic,ci,ci                                               
2019-09-23T05:37:43.470Z,34.1411667,-116.7116667,1.46,1.13,ml,29,77,0.1152,0.22,ci,ci38853007,2019-09-23T05:41:23.005Z,"16km NW of Morongo Valley, CA",earthquake,0.28,0.52,0.158,28,automatic,ci,ci                                         
2019-09-23T05:21:09.320Z,35.6746667,-117.5261667,6.84,0.96,ml,19,92,0.06309,0.17,ci,ci38852967,2019-09-23T05:24:56.770Z,"15km ENE of Ridgecrest, CA",earthquake,0.31,0.73,0.113,10,automatic,ci,ci                                           
2019-09-23T05:17:11.820Z,35.3585,-117.9101667,3.67, 1.2,ml,20,65,0.105,0.17,ci,ci38852951,2019-09-23T13:01:22.277Z,"25km W of Johannesburg, CA",earthquake,0.25,1.15,0.228,26,reviewed,ci,ci                                                 
2019-09-23T05:16:14.380Z,35.6491667,-117.475,5.15,1.26,ml,20,70,0.04472,0.21,ci,ci38852943,2019-09-23T13:01:37.277Z,"15km SSW of Searles Valley, CA",earthquake,0.35,0.53,0.204,13,reviewed,ci,ci                                            
2019-09-23T05:15:50.420Z,39.9753333,-111.905,4.19,2.49,ml,19,81,0.1152,0.18,uu,uu60342747,2019-09-23T14:01:06.523Z,"5km WSW of Genola, Utah",earthquake,0.59,2.62,0.088,15,reviewed,uu,uu                                                    
2019-09-23T05:14:06.610Z,36.0895,-117.8538333,5.33,1.02,ml,12,133,0.02803,0.2,ci,ci38852927,2019-09-23T05:17:50.114Z,"10km ENE of Coso Junction, CA",earthquake,0.58,0.97,0.278,13,automatic,ci,ci                                           
2019-09-23T05:13:07.310Z,36.0903333,-117.858,6,1.32,ml,13,139,0.02731,0.09,ci,ci38852919,2019-09-23T05:16:48.180Z,"10km ENE of Coso Junction, CA",earthquake,0.27,0.39,0.376,16,automatic,ci,ci                                              
2019-09-23T05:12:12.670Z,36.0946655,-117.8610001,4.41, 1.1,ml,10,191,0.0234,0.06,ci,ci38852911,2019-09-23T05:15:49.847Z,"10km NE of Coso Junction, CA",earthquake,0.73,0.85,0.09,7,automatic,ci,ci                                           
2019-09-23T05:07:46.170Z,35.637,-117.6003333,8.04,1.48,ml,25,66,0.02949,0.18,ci,ci38852895,2019-09-23T13:03:24.240Z,"7km ENE of Ridgecrest, CA",earthquake,0.26,0.88,0.124,23,reviewed,ci,ci                                                 
2019-09-23T05:06:48.430Z,36.0715,-117.8188333,0.13,0.99,ml,12,77,0.05446,0.14,ci,ci38852887,2019-09-23T05:10:27.162Z,"12km ENE of Coso Junction, CA",earthquake,0.33,0.63,0.185,9,automatic,ci,ci                                            
2019-09-23T05:05:45.200Z,36.0961667,-117.8678333,3,1.19,ml,14,161,0.02381,0.11,ci,ci38852879,2019-09-23T05:09:28.809Z,"9km NE of Coso Junction, CA",earthquake,0.39,0.46,0.256,14,automatic,ci,ci                                            
2019-09-23T05:04:39.046Z,60.3901,-151.1432,18.6, 1.7,ml,,,,0.49,ak,ak019c7zyf9c,2019-09-23T05:07:03.911Z,"8km ESE of Kalifornsky, Alaska",earthquake,,0.4,,,automatic,ak,ak                                                                  
2019-09-23T05:02:35.940Z,36.0931664,-117.8668365,3.5,3.39,ml,52,53,0.02622,0.19,ci,ci38852871,2019-09-23T13:02:35.034Z,"9km NE of Coso Junction, CA",earthquake,0.2,0.41,0.309,18,reviewed,ci,ci                                             
2019-09-23T05:01:01.630Z,35.6226667,-117.4451667,6.47,1.04,ml,16,82,0.03867,0.17,ci,ci38852863,2019-09-23T13:03:11.284Z,"16km SSW of Searles Valley, CA",earthquake,0.38,0.55,0.176,8,reviewed,ci,ci                                         
2019-09-23T05:00:48.410Z,38.3783,-115.8645,0.9, 1.1,ml,6,237.86,0.173,0.18,nn,nn00704979,2019-09-23T05:04:09.005Z,"48km ENE of Warm Springs, Nevada",earthquake,,12,,,automatic,nn,nn                                                        
2019-09-23T04:57:58.220Z,35.6678333,-117.485,6.44,1.77,ml,32,57,0.05,0.16,ci,ci38852847,2019-09-23T13:04:28.070Z,"13km SSW of Searles Valley, CA",earthquake,0.25,0.56,0.145,26,reviewed,ci,ci                                               
2019-09-23T04:47:01.960Z,35.6055,-117.409,3.08,2.24,ml,36,54,0.04732,0.19,ci,ci38852831,2019-09-23T04:57:58.790Z,"18km S of Trona, CA",earthquake,0.24,0.31,0.157,26,automatic,ci,ci                                                         
2019-09-23T04:37:09.300Z,35.690834,-121.0743332,4.27,1.76,md,18,148,0.09155,0.05,nc,nc73278125,2019-09-23T05:35:02.461Z,"12km ENE of San Simeon, CA",earthquake,0.87,2.22,0.25,7,automatic,nc,nc                                             
2019-09-23T04:21:03.640Z,34.1403333,-116.7126667,1.28,   2,ml,65,32,0.1149,0.19,ci,ci38852823,2019-09-23T04:36:53.470Z,"16km NW of Morongo Valley, CA",earthquake,0.19,0.52,0.15,27,automatic,ci,ci                                          
2019-09-23T04:03:17.810Z,18.5543,-66.7661,14,2.42,md,10,214,0.208,0.16,pr,pr2019266004,2019-09-23T07:35:06.548Z,"8km NNE of Carrizales, Puerto Rico",earthquake,0.65,0.96,0.15,7,reviewed,pr,pr                                              
2019-09-23T03:55:13.380Z,39.5703316,-123.3365021,4.61,1.94,md,12,157,0.1012,0.07,nc,nc73278105,2019-09-23T04:54:03.262Z,"15km NNE of Brooktrails, CA",earthquake,0.43,1.34,0.09,9,automatic,nc,nc                                            
2019-09-23T03:55:03.020Z,37.7095,-77.6506667,7.59,2.51,md,10,83,0.3114,0.11,se,se60089923,2019-09-23T14:08:49.742Z,"1km WNW of Wyndham, Virginia",earthquake,0.28,0.78,0.184,17,reviewed,se,se                                               
